name,institution,country
Christina Wei,University of Toronto,Canada
Xinyi Liu,The University of Texas at Austin,USA
Hideaki Joko,Radboud University,Netherlands
Lenny Martinez,TU Delft,Netherlands
Shaul Ashkenazi,University of Glasgow,UK
Birthe Nesset,Heriot-Watt University,UK
Krishika Haresh Khemani,University of Nottingham,UK
Ezgi Çakır,University of Twente,Netherlands
Asif Shahriar,South Westphalia University of Applied Sciences,Germany
Maithili Mishra,Clemson University,USA
